장르,제목,회차,좋아요수,평점,평점기여자수,전체댓글수,베댓공감수,베댓비공감수
드라마,1초,97,17863,9.98,17555,1037,115305,1088
드라마,1초,98,18463,9.98,19214,1155,115892,691
드라마,1초,99,17419,9.98,17939,815,72324,416
드라마,1초,100,18290,9.97,18384,2203,94075,3524
드라마,1초,101,14729,9.97,13885,826,72255,1649
드라마,1초,102,14868,9.98,14993,1070,89372,346
드라마,1초,103,20709,9.98,40135,1406,80284,548
드라마,1초,104,16373,9.98,16908,599,76277,867
드라마,1초,105,15644,9.98,15729,709,118210,373
드라마,1초,106,15344,9.98,15961,559,65404,714
드라마,1초,107,17258,9.98,19100,1468,100902,409
드라마,1초,108,16235,9.99,16884,1516,110065,575
드라마,1초,109,17611,9.98,19723,1940,138072,1035
드라마,1초,110,16248,9.98,17239,713,86419,461
드라마,1초,111,15907,9.98,16603,923,76288,3437
드라마,1초,112,16008,9.96,16893,714,95494,1099
드라마,1초,113,16302,9.97,16034,1074,78022,665
드라마,1초,114,16799,9.98,16590,1201,171673,702
드라마,1초,115,15868,9.98,16265,813,94473,515
드라마,1초,116,16251,9.97,17195,680,94168,502
드라마,1초,117,15261,9.98,16401,544,53061,755
드라마,1초,118,15318,9.96,16600,959,94204,4821
드라마,1초,119,16125,9.94,17602,940,91375,865
드라마,1초,120,15086,9.94,16192,627,89408,583
드라마,1초,121,15966,9.97,16988,1188,98438,485
드라마,1초,122,15928,9.97,17282,692,71617,591
드라마,1초,123,16673,9.98,17210,1594,142163,339
드라마,1초,124,15970,9.98,16331,734,106966,455
드라마,1초,125,15611,9.68,22505,1001,52000,1086
드라마,1초,126,15105,9.74,20037,745,60747,1141
드라마,1초,127,16416,9.97,17590,848,103212,1065
드라마,1초,128,15785,9.97,17033,935,89019,411
드라마,1초,129,14995,9.96,16296,528,81441,274
드라마,1초,130,16401,9.88,29488,480,68491,1081
드라마,1초,131,15926,9.98,15993,728,101894,798
드라마,1초,132,15657,9.98,16772,559,75132,452
드라마,1초,133,14982,9.98,14543,886,67797,362
드라마,1초,134,15181,9.98,16086,789,98844,355
드라마,1초,135,16267,9.98,17590,954,105261,900
드라마,1초,136,14229,9.98,15258,727,59145,431
드라마,1초,137,14125,9.97,14683,640,51232,676
드라마,1초,138,16643,9.86,18584,2732,127818,536
드라마,1초,139,15121,9.96,16446,1658,102669,548
드라마,1초,140,14524,9.97,15448,1047,80279,290
드라마,1초,141,14611,9.98,15299,821,87237,342
드라마,1초,142,14683,9.98,15951,615,72267,276
드라마,1초,143,13482,9.97,17302,546,46114,281
드라마,1초,144,13199,9.98,14334,614,69353,253
드라마,1초,145,13523,9.98,15455,526,81426,228
드라마,1초,146,15379,9.98,17408,1086,62296,287
드라마,1초,147,13004,9.97,14532,439,57378,190
드라마,1초,148,12938,9.97,13674,507,79339,223
드라마,개를낳았다,101,20857,9.96,22038,1462,141253,517
드라마,개를낳았다,102,20671,9.95,20378,3346,185738,675
드라마,개를낳았다,103,22303,9.97,23163,1713,166526,1208
드라마,개를낳았다,104,20811,9.96,19277,1154,158862,1174
드라마,개를낳았다,105,20247,9.94,19662,2008,205502,723
드라마,개를낳았다,106,19663,9.96,19272,1262,156532,1022
드라마,개를낳았다,107,19854,9.96,19879,1058,137401,1248
드라마,개를낳았다,108,20926,9.96,21247,1231,136864,1211
드라마,개를낳았다,109,21249,9.93,20690,2510,203656,882
드라마,개를낳았다,110,24005,9.95,24358,2955,205516,597
드라마,개를낳았다,111,19664,9.93,18952,1197,113761,393
드라마,개를낳았다,112,20210,9.94,20774,1318,122367,3069
드라마,개를낳았다,113,22097,9.94,22509,1440,116627,572
드라마,개를낳았다,114,19089,9.91,18631,762,95991,692
드라마,개를낳았다,115,19782,9.88,19426,1015,120935,965
