장르,제목,회차,좋아요수,평점,평점기여자수,전체댓글수,베댓공감수,베댓비공감수
드라마,1초,149,12835,9.97,14234,472,69826,275
드라마,1초,150,13830,9.98,14964,894,95664,226
드라마,1초,151,13054,9.98,13707,644,71379,255
드라마,1초,152,12982,9.98,14297,452,69477,804
드라마,1초,153,13084,9.97,14815,376,80004,590
드라마,1초,154,12021,9.98,13418,357,53812,401
드라마,1초,155,12728,9.98,14404,711,60375,271
드라마,1초,156,12474,9.98,13977,947,86214,189
드라마,1초,157,11699,9.98,12818,400,74042,335
드라마,1초,158,11121,9.98,12495,484,51835,187
드라마,1초,159,11262,9.98,12736,466,78727,245
드라마,1초,160,10542,9.98,12018,918,77230,241
드라마,개를낳았다,153,15174,9.97,16719,481,49740,174
드라마,개를낳았다,154,16494,9.97,17551,762,100916,184
드라마,개를낳았다,155,15676,9.97,16389,1307,107796,276
드라마,개를낳았다,156,14693,9.97,15854,569,68726,402
드라마,개를낳았다,157,15319,9.97,16659,827,61130,202
드라마,개를낳았다,158,14173,9.95,15195,959,119134,1863
드라마,개를낳았다,159,14193,9.96,15550,805,101537,896
드라마,개를낳았다,160,14088,9.95,15428,1474,115700,6611
드라마,개를낳았다,161,14008,9.97,15307,579,81609,434
드라마,개를낳았다,162,14382,9.97,16201,653,100137,446
드라마,개를낳았다,163,14694,9.98,16150,940,79508,203
드라마,개를낳았다,164,12934,9.97,13611,864,88861,231
드라마,랜덤채팅의그녀,216,10156,8.66,11136,1747,38246,600
드라마,랜덤채팅의그녀,217,10599,9.51,11371,1630,44258,1076
드라마,랜덤채팅의그녀,218,10050,9.66,10422,1154,40426,814
드라마,랜덤채팅의그녀,219,9758,9.49,9584,1518,42213,1664
드라마,랜덤채팅의그녀,220,9995,9.59,10744,1411,47192,1876
드라마,랜덤채팅의그녀,221,9601,7.7,13667,2670,39005,1270
드라마,랜덤채팅의그녀,222,9074,8.48,10748,1571,45784,1565
드라마,랜덤채팅의그녀,223,9054,7.32,12671,2404,39586,1002
드라마,랜덤채팅의그녀,224,8319,6.49,11743,2587,47159,916
드라마,랜덤채팅의그녀,225,7873,5.94,16961,2448,36191,777
드라마,랜덤채팅의그녀,226,7347,6.72,10168,1875,41399,830
드라마,랜덤채팅의그녀,227,6937,8.74,8634,1909,58438,756
드라마,백수세끼,110,13046,9.94,13075,1052,148201,646
드라마,백수세끼,111,12829,9.5,14003,681,89168,318
드라마,백수세끼,112,11943,9.41,13384,854,67177,1199
드라마,백수세끼,113,12260,9.89,12648,569,79587,958
드라마,백수세끼,114,11684,9.85,12353,656,57143,667
드라마,백수세끼,115,11378,9.9,11455,525,71188,354
드라마,백수세끼,116,11676,9.86,12564,384,90210,462
드라마,백수세끼,117,10395,8.78,12145,1112,88303,731
드라마,백수세끼,118,10361,9.82,10963,496,73371,227
드라마,백수세끼,119,11459,9.96,12147,462,100715,354
드라마,백수세끼,120,9563,9.88,10594,416,72665,382
드라마,백수세끼,121,7995,9.75,9198,506,60623,519
드라마,뷰티풀군바리,317,12589,9.53,15807,1387,76564,5036
드라마,뷰티풀군바리,318,12325,9.82,14749,844,41244,896
드라마,뷰티풀군바리,319,12360,9.61,16562,1333,42621,1437
드라마,뷰티풀군바리,320,12752,9.42,17878,2537,56231,1201
드라마,뷰티풀군바리,321,10867,9.89,12967,1276,23066,280
드라마,뷰티풀군바리,322,11989,9.85,14177,1862,52467,1987
드라마,뷰티풀군바리,323,11277,9.9,12796,842,66545,438
드라마,뷰티풀군바리,324,11148,9.92,12778,919,88725,299
드라마,뷰티풀군바리,325,10911,9.94,12879,1221,64104,690
드라마,뷰티풀군바리,326,10805,9.82,13015,1061,65453,693
드라마,뷰티풀군바리,327,10300,9.86,12232,1884,93964,605
드라마,뷰티풀군바리,328,9005,9.81,11079,1537,78225,669
드라마,소녀의세계,302,24357,9.96,26111,1703,208525,461
