,likeItCount,topPointTotalNumber,topTotalStarPoint,commentCount,sympathyCount,antipathyCount
0,67203,9.92,126817,19649,207436,9103
1,33583,9.93,68880,4442,52340,2890
2,26578,9.94,46558,2799,58784,3905
3,28086,9.96,60027,3870,66562,3057
4,18451,9.93,31936,3235,51215,4162
5,18730,9.95,39620,3745,53036,3535
6,15649,9.94,25792,2373,51903,2779
7,16195,9.95,27273,3133,82881,5687
8,16335,9.94,26501,2783,72636,5806
9,14079,9.94,22784,1874,37201,2480
10,15274,9.95,25333,2808,70504,1728
11,14083,9.95,23523,2489,52959,1921
12,14299,9.94,23267,2881,66656,4353
13,14377,9.94,22909,2419,45663,2555
14,14344,9.94,23818,1911,61823,4705
15,13214,9.94,21607,1606,38328,2950
16,13089,9.88,22317,3207,95385,2426
17,13210,9.94,21913,2067,71268,2652
18,12834,9.93,20792,1640,51715,3349
19,15947,9.96,26809,4098,91121,2782
20,15045,9.93,24405,3080,93818,6166
21,14025,9.95,22611,2720,58016,2796
22,13681,9.96,21026,2908,45711,2694
23,13270,9.95,21109,2105,51906,4324
24,15916,9.96,26865,3732,88236,4526
25,17737,9.97,29978,3983,77867,2208
26,18032,9.96,31375,3740,89961,2922
27,14399,9.96,22522,4179,51370,3144
28,17010,9.97,28578,4340,96397,2264
29,14204,9.96,21984,4415,32252,2031
30,14696,9.95,23296,2403,55733,4446
31,13624,9.94,22374,1593,62823,4644
32,14538,9.96,26453,1723,58497,4919
33,13493,9.95,21809,2149,73502,3168
34,13433,9.95,22066,1744,48920,3356
35,14072,9.95,22459,2034,59224,2834
36,13662,9.95,22106,2886,68114,5136
37,15476,9.97,25324,3047,77100,3116
38,14284,9.96,23023,2219,83637,4683
39,14103,9.92,22244,3062,52258,2831
40,13632,9.96,22049,1469,32131,3334
41,13728,9.96,21141,2297,40924,1903
42,14523,9.96,22777,3455,37112,2893
43,13800,9.96,21302,3036,44473,2768
44,13781,9.97,21418,2515,47017,3860
45,14313,9.96,22342,5155,74244,10146
46,15050,9.96,22807,2943,44088,5249
47,14663,9.96,22351,2685,54195,3611
48,14474,9.96,21878,2653,87092,4337
49,16469,9.97,24865,4005,123712,4785
50,15373,9.96,22720,4094,128019,14770
51,15222,9.96,22705,2434,118300,5684
52,14073,9.96,20810,3026,92388,2801
53,15115,9.96,22731,2941,86154,2538
54,15507,9.96,23482,4819,85142,4325
55,14439,9.96,21405,3732,70546,3606
56,15231,9.95,22679,3924,90016,6419
57,14257,9.96,21141,2312,100450,3926
58,14444,9.97,24556,4452,106536,3726
59,13939,9.97,22747,3108,46243,3235
60,14496,9.97,21493,2954,108013,5097
61,12761,9.94,19533,2067,55404,3706
62,12581,9.96,19944,2086,68508,2486
63,12898,9.96,20513,1895,49606,1812
64,13319,9.95,21535,1959,52304,3371
65,12726,9.96,19421,1466,40717,2906
66,13629,9.97,22986,4497,45612,3083
67,12664,9.96,18427,1297,46468,2995
68,13125,9.96,21122,1543,51374,2495
69,13012,9.95,21882,3876,47875,1497
70,14880,9.97,25488,5840,61561,2250
71,12850,9.96,20826,3150,43539,2889
72,13522,9.96,22614,3219,57532,2123
73,12324,9.91,19680,2676,54186,2641
74,13852,9.95,22647,4358,77886,2437
75,14242,9.95,23668,5867,70018,3520
76,12489,9.96,19732,2297,55018,3648
77,13511,9.95,21665,2557,74555,2650
78,13054,9.96,20839,4129,40987,1898
79,12962,9.95,21002,2344,33907,1765
80,17408,9.76,72249,5333,83091,5664
81,13786,9.93,24673,4005,55307,3415
82,12867,9.95,20878,2775,30784,1792
